id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
99395,,144.7556,-40.5967,21,0,0,0,0,0,0,0,0
99400,,148.3547,-40.3156,21,0,0,0,0,0,0,0,0
99405,,147.8819,-39.7542,21,0,0,0,0,0,0,0,0
99410,,144.1475,-39.9272,21,0,0,0,0,0,0,0,0
99415,,147.3536,-39.4994,21,0,0,0,0,0,0,0,0
99420,,146.6556,-38.7697,21,0,0,0,0,0,0,0,0
99425,,145.3614,-38.5692,21,0,0,0,0,0,0,0,0
99430,,145.3058,-38.297,21,0,0,0,0,0,0,0,0
99435,,137.585,-35.6508,21,0,0,0,0,0,0,0,0
99440,,136.2028,-35.077,21,0,0,0,0,0,0,0,0
99445,,118.4247,-34.9078,21,0,0,0,0,0,0,0,0
99450,,137.3658,-34.4778,21,0,0,0,0,0,0,0,0
99455,,122.2469,-34.1517,21,0,0,0,0,0,0,0,0
99460,,134.4866,-33.78,21,0,0,0,0,0,0,0,0
99465,,133.5336,-32.3044,21,0,0,0,0,0,0,0,0
99470,,115.6489,-32.1522,21,0,0,0,0,0,0,0,0
99475,,159.0708,-31.5236,21,0,0,0,0,0,0,0,0
99480,,153.415,-27.2481,21,0,0,0,0,0,0,0,0
99485,,112.9533,-25.7869,21,0,0,0,0,0,0,0,0
99490,,152.9925,-25.3078,21,0,0,0,0,0,0,0,0
99495,,113.0736,-25.2336,21,0,0,0,0,0,0,0,0
99500,,153.0772,-25.7986,21,0,0,0,0,0,0,0,0
99505,,151.3305,-23.8133,21,0,0,0,0,0,0,0,0
99510,,151.203,-23.5289,21,0,0,0,0,0,0,0,0
99515,,150.9822,-23.1956,21,0,0,0,0,0,0,0,0
99520,,150.4916,-22.3547,21,0,0,0,0,0,0,0,0
99525,,149.8658,-22.1739,21,0,0,0,0,0,0,0,0
99530,,150.3589,-21.7333,21,0,0,0,0,0,0,0,0
99535,,150.2869,-21.6875,21,0,0,0,0,0,0,0,0
99540,,149.0667,-20.5267,21,0,0,0,0,0,0,0,0
99545,,148.9555,-20.2914,21,0,0,0,0,0,0,0,0
99550,,148.9702,-20.0486,21,0,0,0,0,0,0,0,0
99555,,148.4713,-20.0464,21,0,0,0,0,0,0,0,0
99560,,146.2994,-18.4894,21,0,0,0,0,0,0,0,0
99565,,139.3989,-17.0914,21,0,0,0,0,0,0,0,0
99570,,139.14,-16.8106,21,0,0,0,0,0,0,0,0
99575,,139.7364,-16.4972,21,0,0,0,0,0,0,0,0
99580,,136.7419,-15.7522,21,0,0,0,0,0,0,0,0
99585,,136.9344,-15.6989,21,0,0,0,0,0,0,0,0
99590,,136.5977,-15.6161,21,0,0,0,0,0,0,0,0
99595,,136.8514,-15.6342,21,0,0,0,0,0,0,0,0
99600,,124.6216,-15.4122,21,0,0,0,0,0,0,0,0
99605,,124.8161,-15.2811,21,0,0,0,0,0,0,0,0
99610,,128.1147,-15.1319,21,0,0,0,0,0,0,0,0
99615,,124.9244,-14.945,21,0,0,0,0,0,0,0,0
99620,,128.4411,-15.0375,21,0,0,0,0,0,0,0,0
99625,,129.6299,-14.8794,21,0,0,0,0,0,0,0,0
99630,,129.5925,-14.9667,21,0,0,0,0,0,0,0,0
99635,,125.1594,-14.4383,21,0,0,0,0,0,0,0,0
99640,,126.6064,-13.8956,21,0,0,0,0,0,0,0,0
99645,,136.378,-14.2164,21,0,0,0,0,0,0,0,0
99650,,136.2883,-13.7333,21,0,0,0,0,0,0,0,0
99655,,132.4047,-12.1408,21,0,0,0,0,0,0,0,0
99660,,136.8005,-12.0942,21,0,0,0,0,0,0,0,0
99665,,134.9278,-12.0728,21,0,0,0,0,0,0,0,0
99670,,134.9858,-12.0342,21,0,0,0,0,0,0,0,0
99675,,135.1155,-11.9344,21,0,0,0,0,0,0,0,0
99680,,136.4694,-11.8406,21,0,0,0,0,0,0,0,0
99685,,136.6247,-11.7403,21,0,0,0,0,0,0,0,0
99690,,136.0128,-11.7192,21,0,0,0,0,0,0,0,0
99695,,133.3839,-11.6675,21,0,0,0,0,0,0,0,0
99700,,136.1783,-11.6878,21,0,0,0,0,0,0,0,0
99705,,133.4694,-11.4608,21,0,0,0,0,0,0,0,0
99710,,130.4911,-11.6886,21,0,0,0,0,0,0,0,0
99715,,130.3774,-11.1706,21,0,0,0,0,0,0,0,0
99720,,132.6238,-11.2792,21,0,0,0,0,0,0,0,0
99725,,142.5128,-10.8669,21,0,0,0,0,0,0,0,0
99730,,145.4036,-16.4622,21,0,0,0,0,0,0,0,0
99735,,146.3369,-18.5367,21,0,0,0,0,0,0,0,0
99740,,149.2147,-21.08,21,0,0,0,0,0,0,0,0
99745,,150.6372,-22.3439,21,0,0,0,0,0,0,0,0
99750,,153.1819,-25.9494,21,0,0,0,0,0,0,0,0
99755,,151.4528,-33.3192,21,0,0,0,0,0,0,0,0
99760,,146.8736,-38.6517,21,0,0,0,0,0,0,0,0
99765,,145.4413,-38.2261,21,0,0,0,0,0,0,0,0
99770,,142.3889,-38.3647,21,0,0,0,0,0,0,0,0
99775,,139.0773,-35.6826,21,0,0,0,0,0,0,0,0
99780,,138.093,-35.6208,21,0,0,0,0,0,0,0,0
99785,,137.02,-34.9011,21,0,0,0,0,0,0,0,0
99790,,137.7783,-32.9925,21,0,0,0,0,0,0,0,0
99795,,135.5069,-34.6181,21,0,0,0,0,0,0,0,0
99800,,133.9522,-32.3947,21,0,0,0,0,0,0,0,0
99805,,131.1522,-31.4742,21,0,0,0,0,0,0,0,0
99810,,123.5408,-33.9058,21,0,0,0,0,0,0,0,0
99815,,114.9887,-33.5225,21,0,0,0,0,0,0,0,0
99820,,114.8855,-29.2011,21,0,0,0,0,0,0,0,0
99825,,113.3917,-25.7181,21,0,0,0,0,0,0,0,0
99830,,114.2208,-26.3064,21,0,0,0,0,0,0,0,0
99835,,114.6511,-21.84,21,0,0,0,0,0,0,0,0
99840,,122.3533,-18.1056,21,0,0,0,0,0,0,0,0
99845,,123.9183,-17.2044,21,0,0,0,0,0,0,0,0
99850,,123.8914,-16.3789,21,0,0,0,0,0,0,0,0
99855,,124.7283,-15.8106,21,0,0,0,0,0,0,0,0
99860,,125.1818,-15.5207,21,0,0,0,0,0,0,0,0
99865,,125.6069,-14.2231,21,0,0,0,0,0,0,0,0
99870,,126.2878,-14.2331,21,0,0,0,0,0,0,0,0
99875,,128.1292,-15.2129,21,0,0,0,0,0,0,0,0
99880,,128.4525,-15.0464,21,0,0,0,0,0,0,0,0
99885,,129.9444,-14.7678,21,0,0,0,0,0,0,0,0
99890,,130.6953,-12.7025,21,0,0,0,0,0,0,0,0
99895,,132.7544,-12.1328,21,0,0,0,0,0,0,0,0
99900,,131.7669,-11.3164,21,0,0,0,0,0,0,0,0
99905,,133.183,-11.7167,21,0,0,0,0,0,0,0,0
99910,,136.0397,-12.4717,21,0,0,0,0,0,0,0,0
99915,,136.3505,-13.0525,21,0,0,0,0,0,0,0,0
99920,,137.7308,-16.2461,21,0,0,0,0,0,0,0,0
99925,,141.4269,-16.0792,21,0,0,0,0,0,0,0,0
99930,,141.5894,-12.5469,21,0,0,0,0,0,0,0,0
99935,,142.1833,-10.7703,21,0,0,0,0,0,0,0,0
99940,,142.3141,-10.5842,21,0,0,0,0,0,0,0,0
99945,,142.2308,-10.5689,21,0,0,0,0,0,0,0,0
99950,,142.2855,-10.2647,21,0,0,0,0,0,0,0,0
99955,,142.0897,-10.1339,21,0,0,0,0,0,0,0,0
99960,,50.8214,25.6519,21,0,0,0,0,0,0,0,0
